Designator, Mid X, Mid Y, Layer, Rotation
C1, 14.1478, 26.9494, T, 180
C2, 14.1478, 28.3464, T, 180
C8, 16.6116, 20.2184, T, 270
C9, 21.463, 41.91, T, 0
C11, 26.9494, 41.8084, T, 180
F1, 29.1338, 53.1876, T, 270
PWR, 31.75, 53.34, T, 180
R1, 26.416, 12.7, T, 90
R2, 14.1478, 29.7942, T, 180
R4, 31.7524, 50.236, T, 90
R5, 24.3078, 42.6212, T, 270
R6, 24.3078, 45.5168, T, 270
R7, 17.5768, 41.91, T, 0
R8, 14.224, 41.91, T, 0
R9, 13.716, 44.196, T, 270
USR_LED, 24.384, 12.7, T, 0
V1, 26.8986, 44.5262, T, 90
Y1, 14.4272, 22.1742, T, 90
